title,release_year,pages,author,genre,description,thumbnail
Gilead,2004,247,Marilynne Robinson,Fiction,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_001.jpg
Spider's Web,2000,241,Charles Osborne,Detective and mystery stories,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_002.jpg
The One Tree,1982,479,Stephen R. Donaldson,American fiction,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/book_003.jpg
Rage of angels,1993,512,Sidney Sheldon,Fiction,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_004.jpg
The Four Loves,2002,170,Clive Staples Lewis,Christian life,A gripping tale of suspense and intrigue.,https://example.com/covers/book_005.jpg
The Problem of Pain,2002,176,Clive Staples Lewis,Christian life,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/book_006.jpg
An Autobiography,1977,560,Agatha Christie,Authors,A gripping tale of suspense and intrigue.,https://example.com/covers/book_007.jpg
Empires of the Monsoon,1998,608,Richard Hall,Africa,A gripping tale of suspense and intrigue.,https://example.com/covers/book_008.jpg
The Gap Into Madness,1994,743,Stephen R. Donaldson,Hyland,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_009.jpg
Master of the Game,1982,489,Sidney Sheldon,Adventure stories,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_010.jpg
If Tomorrow Comes,1994,501,Sidney Sheldon,Adventure stories,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/book_011.jpg
Assassin's Apprentice,1996,460,Robin Hobb,American fiction,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_012.jpg
Warhost of Vastmark,1995,522,Janny Wurts,Fiction,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_013.jpg
The Once and Future King,1996,823,Terence Hanbury White,Arthurian romances,A gripping tale of suspense and intrigue.,https://example.com/covers/book_014.jpg
Murder in LaMut,2003,337,Raymond E. Feist,Adventure stories,A gripping tale of suspense and intrigue.,https://example.com/covers/book_015.jpg
Jimmy the Hand,2003,368,Raymond E. Feist,Fantasy fiction,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_016.jpg
Well of Darkness,2001,599,Margaret Weis,Fiction,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_017.jpg
Witness for the Prosecution & Selected Plays,1995,352,Agatha Christie,English drama,A gripping tale of suspense and intrigue.,https://example.com/covers/book_018.jpg
The Little House,1998,368,Philippa Gregory,Country life,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_019.jpg
Mystical Paths,1996,576,Susan Howatch,English fiction,A gripping tale of suspense and intrigue.,https://example.com/covers/book_020.jpg
Glittering Images,1996,512,Susan Howatch,English fiction,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_021.jpg
Glamorous Powers,1996,512,Susan Howatch,Clergy,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_022.jpg
The Mad Ship,2000,906,Robin Hobb,Fantasy fiction,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_023.jpg
Post Captain,1996,474,Patrick O'Brian,Aubrey,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_024.jpg
The Reverse of the Medal,1997,261,Patrick O'Brian,Adventure stories,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/book_025.jpg
Miss Marple,1997,359,Agatha Christie,Detective and mystery stories,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/book_026.jpg
The Years of Rice and Salt,2003,772,Kim Stanley Robinson,Black Death,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_027.jpg
Spares,1998,317,Michael Marshall Smith,Human cloning,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_028.jpg
Gravity,2004,342,Tess Gerritsen,Science fiction,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/book_029.jpg
The Wise Woman,2002,640,Philippa Gregory,Great Britain,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_030.jpg
Girls' Night in,2000,586,Jessica Adams,American fiction,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_031.jpg
The White Album,1993,224,Joan Didion,American essays,A gripping tale of suspense and intrigue.,https://example.com/covers/book_032.jpg
The Bonesetter's Daughter,2001,352,Amy Tan,China,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/book_033.jpg
The Lexus and the Olive Tree,2000,352,Thomas L. Friedman,Capitalism,A gripping tale of suspense and intrigue.,https://example.com/covers/book_034.jpg
'Tis,2000,495,Frank McCourt,Ireland,A gripping tale of suspense and intrigue.,https://example.com/covers/book_035.jpg
Ocean Star Express,2002,32,Mark Haddon,Juvenile Fiction,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_036.jpg
A Small Pinch of Weather,2000,239,Joan Aiken,Children's stories,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_037.jpg
The Princess of the Chalet School,2000,159,Elinor Mary Brent-Dyer,Juvenile Fiction,A gripping tale of suspense and intrigue.,https://example.com/covers/book_038.jpg
Koko,2001,634,Peter Straub,Male friendship,A gripping tale of suspense and intrigue.,https://example.com/covers/book_039.jpg
Tree and Leaf,2001,176,John Ronald Reuel Tolkien,Literary Collections,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_040.jpg
Partners in Crime,2001,347,Agatha Christie,Beresford,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_041.jpg
Murder in Mesopotamia,2001,264,Agatha Christie,Detective and mystery stories,A gripping tale of suspense and intrigue.,https://example.com/covers/book_042.jpg
"The Lord of the Rings, the Return of the King",2003,72,Jude Fisher,Imaginary wars and battles,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_043.jpg
All Families are Psychotic,2002,279,Douglas Coupland,Dysfunctional families,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/book_044.jpg
Death in the Clouds,2001,333,Agatha Christie,Detective and mystery stories,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_045.jpg
Appointment with Death,2001,303,Agatha Christie,Detective and mystery stories,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_046.jpg
Hallowe'en Party,2001,336,Agatha Christie,Poirot,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/book_047.jpg
Hercule Poirot's Christmas,2001,335,Agatha Christie,Christmas stories,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_048.jpg
The Big Four,2002,272,Agatha Christie,Detective and mystery stories,A gripping tale of suspense and intrigue.,https://example.com/covers/book_049.jpg
The Thirteen Problems,2002,315,Agatha Christie,Detective and mystery stories,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_050.jpg
They Do it with Mirrors,2002,284,Agatha Christie,American fiction,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_051.jpg
A Murder is Announced,2002,382,Agatha Christie,Detective and mystery stories,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_052.jpg
The Mirror Crack'd from Side to Side,2002,351,Agatha Christie,Marple,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_053.jpg
Mrs McGinty's Dead,2002,328,Agatha Christie,Belgians,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_054.jpg
Taken at the Flood,2002,352,Agatha Christie,Fiction,A gripping tale of suspense and intrigue.,https://example.com/covers/book_055.jpg
The Hollow,2002,384,Agatha Christie,Detective and mystery stories,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_056.jpg
Third Girl,2002,365,Agatha Christie,Belgians,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/book_057.jpg
The Secret of Chimneys,2001,400,Agatha Christie,Battle,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/book_058.jpg
The Lord of the Rings,2001,1546,J. R. R. Tolkien,Baggins,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_059.jpg
The Metaphysical Club,2002,560,Louis Menand,Cambridge (Mass.),An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_060.jpg
The illustrated man,2002,186,Ray Bradbury,Fiction,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_061.jpg
Wilkins' Tooth,2002,207,Diana Wynne Jones,Business enterprises,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_062.jpg
Cut,2002,173,Patricia McCormick,Emotional problems,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_063.jpg
The Lord of the Rings,2004,224,Gary Russell,Characters and characteristics in motion pictures,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_064.jpg
The Lord of the Rings,2002,1200,John Ronald Reuel Tolkien,Fantasy fiction,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_065.jpg
The Fellowship of the Ring,2002,410,John Ronald Reuel Tolkien,Baggins,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/book_066.jpg
Lirael,2004,527,Garth Nix,Fantasy fiction,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_067.jpg
Tales from the Perilous Realm,2002,178,John Ronald Reuel Tolkien,Fairy tales,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_068.jpg
Breaking Open the Head,2004,336,Daniel Pinchbeck,Hallucinogenic drugs,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_069.jpg
The Yiddish Policemen's Union,2007,414,Michael Chabon,Fiction,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/book_070.jpg
"Beware, Princess Elizabeth",2003,242,Carolyn Meyer,Children's stories,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_071.jpg
The Family Way,2005,400,Tony Parsons,Parenthood,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_072.jpg
Endless Night,2002,303,Agatha Christie,FICTION,A gripping tale of suspense and intrigue.,https://example.com/covers/book_073.jpg
How to be Alone,2004,306,Jonathan Franzen,Literary Collections,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/book_074.jpg
The Mysterious Mr. Quin,2003,396,Agatha Christie,Detective and mystery stories,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_075.jpg
The Listerdale Mystery,2003,317,Agatha Christie,Detective and mystery stories,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/book_076.jpg
The Real Trial of Oscar Wilde,2004,384,Merlin Holland,Biography & Autobiography,A gripping tale of suspense and intrigue.,https://example.com/covers/book_077.jpg
I Can Read with Me Eyes Shut!,2003,48,Dr. Seuss,Authors,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/book_078.jpg
"Oh, the Places You'll Go!",2003,48,Dr. Seuss,Adventure stories,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_079.jpg
If I Die in a Combat Zone,2003,208,Tim O'Brien,Vietnam War,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_080.jpg
The Return of the King,2003,554,J. R. R. Tolkien,Baggins,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/book_081.jpg
The Silmarillion,2004,386,John Ronald Reuel Tolkien,Fiction,A gripping tale of suspense and intrigue.,https://example.com/covers/book_082.jpg
I Wish that I Had Duck Feet,2004,64,Dr. Seuss,Children's stories,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_083.jpg
Oh Say Can You Say?,2004,36,Dr. Seuss,Children's stories,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_084.jpg
There's a Boy in the Girls' Bathroom,2004,208,Louis Sachar,Boys,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_085.jpg
Microserfs,2004,371,Douglas Coupland,Computer programmers,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_086.jpg
Miss Wyoming,2004,320,Douglas Coupland,Actors,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_087.jpg
Where Rainbows End,2004,454,Cecelia Ahern,Friendship,A gripping tale of suspense and intrigue.,https://example.com/covers/book_088.jpg
Poirot,2005,727,Agatha Christie,Authors,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/book_089.jpg
The Art of The Lord of the Rings,2004,224,Gary Russell,Costume,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_090.jpg
The Known World,2004,388,Edward P. Jones,African American plantation owners,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/book_091.jpg
Discover Your Destiny with the Monk Who Sold His Ferrari,2004,240,Robin Sharma,Conduct of life,A gripping tale of suspense and intrigue.,https://example.com/covers/book_092.jpg
Naked Lunch,2005,289,William S. Burroughs,Alienation (Social psychology),An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_093.jpg
Tropic of Cancer,2005,336,Henry Miller,Fiction,A gripping tale of suspense and intrigue.,https://example.com/covers/book_094.jpg
Close Range,2006,318,Annie Proulx,Cowboys,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_095.jpg
The Love of the Last Tycoon,1994,169,F. Scott Fitzgerald,Fiction,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_096.jpg
The Song of Rhiannon,1992,208,Evangeline Walton,Fiction,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/book_097.jpg
Heart Songs and Other Stories,1995,203,Annie Proulx,Fiction,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/book_098.jpg
The voyage of the Dawn Treader,1970,216,Clive Staples Lewis,Juvenile Fiction,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_099.jpg
"The Chronicles of Narnia: Lion, the witch and the wardrobe",1978,1425,Clive Staples Lewis,Fairy tales,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_100.jpg
The Short Stories of Ernest Hemingway,1986,499,Ernest Hemingway,Fiction,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/book_101.jpg
"The Screwtape Letters ; With, Screwtape Proposes a Toast",1982,172,Clive Staples Lewis,Christianity,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_102.jpg
Reason in History,1953,95,Georg Wilhelm Friedrich Hegel,Philosophy,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_103.jpg
The Elements of Style,1979,85,William Strunk,Language Arts & Disciplines,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_104.jpg
