title,release_year,director,duration,genre,description,thumbnail
Dick Johnson Is Dead,2020,Kirsten Johnson,90,Documentaries,A gripping tale of suspense and intrigue.,https://example.com/covers/movie_001.jpg
My Little Pony: A New Generation,2021,Robert Cullen,91,Children & Family Movies,An unforgettable journey through twists and turns of fate.,https://example.com/covers/movie_007.jpg
Sankofa,1993,Haile Gerima,125,Dramas,An epic adventure that explores the depths of human emotion.,https://example.com/covers/movie_008.jpg
The Starling,2021,Theodore Melfi,104,Comedies,A gripping tale of suspense and intrigue.,https://example.com/covers/movie_010.jpg
Je Suis Karl,2021,Christian Schwochow,127,Dramas,A gripping tale of suspense and intrigue.,https://example.com/covers/movie_013.jpg
Confessions of an Invisible Girl,2021,Bruno Garotti,91,Children & Family Movies,An epic adventure that explores the depths of human emotion.,https://example.com/covers/movie_014.jpg
Europe's Most Dangerous Man: Otto Skorzeny in Spain,2020,Pedro de Echave García,67,Documentaries,A gripping tale of suspense and intrigue.,https://example.com/covers/movie_017.jpg
Intrusion,2021,Adam Salky,94,Thrillers,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/movie_019.jpg
Avvai Shanmughi,1996,K.S. Ravikumar,161,Comedies,An unforgettable journey through twists and turns of fate.,https://example.com/covers/movie_023.jpg
Go! Go! Cory Carson: Chrissy Takes the Wheel,2021,Alex Woo,61,Children & Family Movies,An unforgettable journey through twists and turns of fate.,https://example.com/covers/movie_024.jpg
Jeans,1998,S. Shankar,166,Comedies,A compelling story that captivates readers from start to finish.,https://example.com/covers/movie_025.jpg
Minsara Kanavu,1997,Rajiv Menon,147,Comedies,An epic adventure that explores the depths of human emotion.,https://example.com/covers/movie_027.jpg
Grown Ups,2010,Dennis Dugan,103,Comedies,A gripping tale of suspense and intrigue.,https://example.com/covers/movie_028.jpg
Dark Skies,2013,Scott Stewart,97,Horror Movies,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/movie_029.jpg
Paranoia,2013,Robert Luketic,106,Thrillers,An epic adventure that explores the depths of human emotion.,https://example.com/covers/movie_030.jpg
